tray_id,biomass,groundcover
12_2,0.0363810840005,7.26619617490535
6_3,0.0039614409305,3.42331596620896
2_3,2.107174085e-4,0.0910830849122537
5_3,0.054387827432,9.14466486844031
10_3,0.005439270509,3.75048713270715
6_2,0.016467309203,3.99984765780962
1_1,0.0161770758875,4.10145924137021
10_2,0.026700635111,6.16640686984634
7_1,0.003993728092,3.24639457458125
1_3,0.0236731024175,4.99581961220813
4_3,0.002870117874,3.04635451103543
4_1,5.436996015e-4,0.311178586152566
12_3,0.0052382814125,3.64048701399245
3_1,0.0307888793975,7.0359353917867
9_3,0.0039796319715,3.2930675476409
3_3,0.0051567951985,3.91351113769622
5_2,0.0055894923774999,3.39200210770853
10_1,0.060541337561,9.13402940175649
8_2,0.017314326942,4.21833286460458
9_1,0.001227399998,0.344389688072348
5_1,0.038390099547,7.1388052922709
11_3,0.005002197122,2.8007247077858
8_1,0.0063210066155,3.46070175161875
9_2,0.023913619078,4.5447681941459
1_2,-1.014389275e-4,0.0454776540085922
6_1,0.00333175083,1.3962548611925
11_2,7.40712920000005e-5,0.0807925078603013
2_2,0.01348390348599999,2.6290011061907
7_2,0.0582335509655,9.05521185001045
4_2,0.0217681868015,4.07541363371727
11_1,0.0247287591385,3.95320267039701
8_3,0.032953219966,6.01513346979923
12_1,NA,NA
2_1,NA,NA
7_3,NA,NA
3_2,NA,NA
